frequency,recency,T,monetary_value,p_not_alive,p_alive,predicted_purchases,actual30,error,expected_avg_sales_,predicted_clv,profit_margin
1.0,334.0,352.0,13.8788,2.4988899838263023e-11,0.9999999999750111,0.059998855151244944,0.08982035928143713,0.029821504130192182,197.69397780467875,316.75783956698007,15.837891978349004
1.0,111.0,242.0,86.1458,2.1798784999305099e-10,0.9999999997820122,0.064825410207154,0.2702702702702703,0.2054448600631163,1172.4882286442096,2119.343721190303,105.96718605951514
1.0,147.0,163.0,439.6576,2.346878247294626e-11,0.9999999999765312,0.06880024122753173,0.20408163265306123,0.1352813914255295,5940.933995646216,11826.91571658134,591.345785829067
2.0,161.0,273.0,148.95409999999998,1.8735968332350694e-10,0.9999999998126403,0.08484131076672596,0.37267080745341613,0.28782949668669017,278.07062542899314,727.1467876762764,36.35733938381382
2.0,779.0,1017.0,2598.9932,3.564344375206474e-10,0.9999999996435656,0.05537824374797496,0.07702182284980744,0.021643579101832476,4839.950891931338,6891.854519986765,344.59272599933826
2.0,790.0,1006.0,11827.621650000001,3.1619395990389876e-10,0.999999999683806,0.05566404564323102,0.0759493670886076,0.020285321445376578,22023.30850158627,31572.72966953735,1578.6364834768676
2.0,275.0,333.0,129.21325,8.670175688507697e-11,0.9999999999132982,0.08135087756656705,0.21818181818181817,0.13683094061525114,241.3139083386484,591.1538221427816,29.557691107139078
2.0,807.0,1034.0,7946.07165,3.3340286087479853e-10,0.9999999996665971,0.054942277142855156,0.07434944237918216,0.019407165236327004,14796.009007287515,20851.79085134865,1042.5895425674325
2.0,151.0,311.0,145.76069999999999,2.863747017300966e-10,0.9999999997136253,0.08259684545057588,0.3973509933774834,0.31475414792690753,272.1246352433473,682.443955872548,34.1221977936274
2.0,65.0,311.0,63.3608,5.168794281473765e-10,0.9999999994831206,0.08259684543153671,0.9230769230769231,0.8404800776453865,118.69913367818182,297.6779592440669,14.883897962203347
2.0,788.0,1006.0,5242.749949999999,3.198958875572089e-10,0.9999999996801041,0.055664045643024955,0.07614213197969542,0.02047808633667047,9762.526106040114,13995.608225960248,699.7804112980125
2.0,792.0,1013.0,3941.5516,3.2466895838467735e-10,0.999999999675331,0.05548183150660619,0.07575757575757576,0.02027574425096957,7339.743924453538,10477.093616294764,523.8546808147382
2.0,789.0,1019.0,5297.414199999999,3.4086422573409436e-10,0.9999999996591358,0.05532659478832124,0.07604562737642585,0.020719032588104612,9864.308874877619,14029.119068604241,701.455953430212
15.0,347.0,347.0,109.36335333333334,0.0,1.0,0.3454494602374218,1.2968299711815563,0.9513805109441344,116.61303485420719,1499.6861008845299,74.9843050442265
2.0,292.0,319.0,51.879850000000005,3.862488107131412e-11,0.9999999999613751,0.0821393747428531,0.2054794520547945,0.12334007731194141,97.32203841235523,241.9805618033073,12.099028090165366
2.0,805.0,1024.0,8004.1173,3.1970581737539305e-10,0.9999999996802942,0.0551978929023418,0.07453416149068323,0.019336268588341435,14904.087815209929,21132.138974551755,1056.606948727588
1.0,60.0,350.0,222.00570000000002,5.746529918582155e-10,0.999999999425347,0.060080186954565434,0.5,0.4399198130454346,3005.0736333190066,4824.883243364582,241.2441621682291
1.0,288.0,371.0,3451.2244,1.2367373791732916e-10,0.9999999998763263,0.059237045793900704,0.10416666666666666,0.04492962087276595,46563.320460550014,73171.24553940119,3658.56227697006
1.0,306.0,387.0,820.2968,1.19749765659094e-10,0.9999999998802502,0.05861036820026703,0.09803921568627451,0.03942884748600748,11075.295513408933,17126.61750062548,856.3308750312741
1.0,321.0,389.0,2507.2340999999997,9.892864305527382e-11,0.9999999999010714,0.05853296457485994,0.09345794392523364,0.034924979350373704,33830.035319499686,52210.04095987645,2610.502047993823
1.0,33.0,53.0,119.2958,3.056088715425176e-11,0.9999999999694391,0.07522248304922217,0.9090909090909092,0.833868426041687,1619.6415547173888,3754.0552934409875,187.7027646720494
1.0,172.0,210.0,439.6576,5.650369061527272e-11,0.9999999999434963,0.06637880200674623,0.1744186046511628,0.10803980264441657,5940.933995646216,11154.367695558292,557.7183847779146
1.0,165.0,337.0,82.411,2.9068281115485206e-10,0.9999999997093172,0.06061426636812672,0.18181818181818182,0.1212039154500551,1122.110302785443,1826.200113716333,91.31000568581665
1.0,303.0,380.0,3581.6144,1.1356271478746294e-10,0.9999999998864373,0.0588829005297493,0.09900990099009901,0.04012700046034971,48322.12354310452,75249.27882609837,3762.4639413049185
1.0,324.0,395.0,3696.5344,1.0345391210364596e-10,0.9999999998965461,0.05830197552859595,0.09259259259259259,0.03429061706399664,49872.25507349154,76511.51338310626,3825.575669155313
2.0,837.0,905.0,4765.9148000000005,8.632361492288965e-11,0.9999999999136764,0.05843297992230142,0.07168458781362007,0.01325160789131865,8874.677066749402,13567.341878115298,678.3670939057649
27.0,344.0,364.0,114.74652222222223,3.326094955014014e-11,0.999999999966739,0.583213161959175,2.354651162790698,1.7714380008315227,118.85086097220987,2628.134895885109,131.40674479425545
2.0,805.0,1026.0,5232.2082,3.231737100151122e-10,0.9999999996768263,0.05514657964929116,0.07453416149068323,0.019387581841392075,9742.89776570081,13797.39384156844,689.8696920784221
2.0,793.0,1027.0,7890.760899999999,3.474740495335027e-10,0.999999999652526,0.05512095878140044,0.07566204287515763,0.020541084093757184,14693.022479868241,20794.84701075879,1039.7423505379395
2.0,279.0,296.0,313.6764,2.411448818406825e-11,0.9999999999758855,0.08346848257434157,0.21505376344086022,0.13158528086651866,584.7773264864902,1490.6327436641843,74.53163718320921
2.0,816.0,1033.0,7897.412899999999,3.150288918618571e-10,0.9999999996849711,0.05496773213465548,0.07352941176470588,0.018561679630050405,14705.408252622958,20736.672413261098,1036.833620663055
2.0,841.0,1023.0,3912.3133,2.5436164285963514e-10,0.9999999997456384,0.0552235853588398,0.0713436385255648,0.016120053166725004,7285.303314180797,10335.952578954471,516.7976289477236
2.0,842.0,1030.0,5220.0642,2.6398727648313525e-10,0.9999999997360127,0.05504423882768288,0.07125890736342043,0.016214668535737546,9720.286096378308,13731.930946064784,686.5965473032393
2.0,247.0,351.0,32.5865,1.6629786436794802e-10,0.9999999998337021,0.08035906841038686,0.24291497975708504,0.16255591134669817,61.39854941998648,147.61153824343387,7.380576912171694
2.0,816.0,1027.0,10643.36,3.047688768020862e-10,0.9999999996952311,0.05512095878375431,0.07352941176470588,0.018408452980951576,19818.25803871386,28048.527432318726,1402.4263716159364
2.0,844.0,1018.0,7951.88955,2.413114152943763e-10,0.9999999997586886,0.055352407225766946,0.07109004739336494,0.015737640167597995,14806.841717346097,21071.32256412059,1053.5661282060296
2.0,792.0,1005.0,8050.002399999999,3.1078273288187575e-10,0.9999999996892173,0.05569017398312639,0.07575757575757576,0.02006740177444937,14989.52413833493,21502.31233697048,1075.115616848524
2.0,146.0,196.0,129.78235,7.738520935163251e-11,0.9999999999226148,0.08978511070586793,0.410958904109589,0.3211737934037211,242.3735510438063,693.864235874491,34.69321179372455
2.0,783.0,1019.0,9271.15455,3.5231950690217673e-10,0.9999999996476805,0.05532659478768753,0.07662835249042146,0.02130175770273393,17263.263318857356,24551.98632364668,1227.5993161823342
2.0,773.0,1000.0,6564.28565,3.3750024996948014e-10,0.9999999996624998,0.05582118447932955,0.0776196636481242,0.021798479168794647,12223.175665187298,17588.249282386572,879.4124641193287
2.0,753.0,990.0,5247.656150000001,3.5804315068332926e-10,0.9999999996419568,0.05608506341934221,0.0796812749003984,0.023596211481056194,9771.661265133502,14148.224145956241,707.4112072978121
2.0,759.0,986.0,2585.1807,3.392224279252787e-10,0.9999999996607776,0.05619131487177155,0.07905138339920949,0.022860068527437938,4814.232538627889,6987.845260942219,349.392263047111
2.0,782.0,1003.0,6612.8724999999995,3.258304737130402e-10,0.9999999996741695,0.05574250431745635,0.07672634271099744,0.020983838393541093,12313.642544767508,17685.602555434965,884.2801277717483
2.0,782.0,1001.0,5247.7003,3.223274980257429e-10,0.9999999996776725,0.05579493309171643,0.07672634271099744,0.020931409619281013,9771.74347076596,14052.126057146354,702.6063028573177
2.0,776.0,994.0,9486.9333,3.212676791264357e-10,0.9999999996787323,0.05597921303073613,0.07731958762886598,0.021340374598129853,17665.035201418556,25513.382496081562,1275.6691248040781
2.0,842.0,1003.0,5242.749949999999,2.209916694084768e-10,0.9999999997790083,0.055742504323300225,0.07125890736342043,0.015516403040120204,9762.526106040114,14021.533935248111,701.0766967624056
2.0,825.0,984.0,9132.81955,2.190745362895541e-10,0.9999999997809255,0.05624459171496857,0.07272727272727272,0.016482681012304157,17005.688773754548,24714.55529208274,1235.727764604137
2.0,831.0,979.0,6818.41915,2.016260491899402e-10,0.999999999798374,0.05637822685055344,0.07220216606498195,0.015823939214428512,12696.362643593959,18509.58821373247,925.4794106866235
2.0,79.0,361.0,90.5161,6.162843568802145e-10,0.9999999993837156,0.07981844276558268,0.7594936708860759,0.6796752281204932,169.26127662559483,402.76714854673475,20.13835742733674
2.0,283.0,316.0,190.51319999999998,4.7696513405526275e-11,0.9999999999523035,0.0823103311823725,0.21201413427561838,0.12970380309324586,355.4520999465213,886.6358970861453,44.33179485430727
2.0,326.0,352.0,134.473,3.675970638994386e-11,0.9999999999632403,0.08030467652448765,0.18404907975460122,0.10374440323011357,251.10736417849023,603.0773206668164,30.15386603334082
2.0,215.0,319.0,255.1612,1.684132833190688e-10,0.9999999998315867,0.08213937473219242,0.27906976744186046,0.19693039270966806,475.8242341989272,1183.0847073791733,59.154235368958666
2.0,781.0,998.0,9208.97055,3.189488673172036e-10,0.9999999996810511,0.05587376143439477,0.07682458386683738,0.02095082243244261,17147.479059539954,24704.524423987736,1235.2262211993868
2.0,200.0,202.0,67.26145,2.8492763703980017e-12,0.9999999999971507,0.08937927443356475,0.3,0.21062072556643524,125.96199665107576,357.9591956779309,17.897959783896546
1.0,293.0,359.0,55.239,9.674372414281152e-11,0.9999999999032563,0.05971591962759356,0.10238907849829351,0.04267315887069995,755.5929520747212,1201.9715857581891,60.09857928790946
2.0,859.0,990.0,12080.11415,1.7438095412103394e-10,0.999999999825619,0.056085063429642854,0.06984866123399301,0.013763597804350158,22493.43999997331,32567.873856360533,1628.3936928180267
2.0,133.0,218.0,74.94669999999999,1.3870438131391438e-10,0.9999999998612956,0.0883147672153423,0.45112781954887216,0.36281305233352984,140.2716418800589,390.9815571771364,19.54907785885682
2.0,182.0,341.0,19.3265,2.8012836494895055e-10,0.9999999997198716,0.08090706747364448,0.3296703296703297,0.24876326219668524,36.708930248675664,89.17560938012618,4.458780469006309
2.0,283.0,286.0,234.144,4.176214929429989e-12,0.9999999999958238,0.08405986673216685,0.21201413427561838,0.12795426754345152,436.69100161617655,1125.485760938493,56.27428804692465
2.0,775.0,999.0,6501.836649999999,3.3194025306215735e-10,0.9999999996680597,0.05584746058216395,0.07741935483870968,0.02157189425654573,12106.897985878912,17431.717845954863,871.5858922977432
2.0,153.0,362.0,118.90920000000001,3.9815728491987556e-10,0.9999999996018427,0.07976478003698567,0.39215686274509803,0.31239208270811236,222.12815642144292,528.0268180705066,26.40134090352533
2.0,890.0,976.0,3036.4074,1.0921974435973425e-10,0.9999999998907803,0.05645871318348827,0.06741573033707866,0.010957017153590397,5654.399611246842,8258.882761413894,412.9441380706947
1.0,174.0,293.0,88.378,1.9089529956772822e-10,0.9999999998091047,0.06249456184717962,0.1724137931034483,0.10991923125626867,1202.5979014786153,2051.8760262754895,102.59380131377448
1.0,54.0,223.0,497.029,2.9924396294234157e-10,0.999999999700756,0.06573884443446094,0.5555555555555556,0.48981671112109465,6714.804654212575,12412.115772425363,620.6057886212682
1.0,522.0,906.0,2535.964,6.528086959889379e-10,0.9999999993471913,0.04363613920891831,0.05747126436781609,0.01383512515889778,34217.566853217635,34875.97627620723,1743.7988138103615
4.0,97.0,102.0,63.23365,7.41073868937292e-12,0.9999999999925893,0.14554468990295769,1.2371134020618557,1.091568712158898,82.53115665452498,445.0436955486879,22.252184777434394
2.0,915.0,1001.0,835.29165,1.0845191411590349e-10,0.9999999998915481,0.055794933103649684,0.06557377049180328,0.009778837388153598,1556.0052206379296,2237.592668296806,111.87963341484031
1.0,173.0,181.0,13.8788,1.1548539902150878e-11,0.9999999999884515,0.06785229575804849,0.17341040462427745,0.10555810886622896,197.69397780467875,384.6765558814645,19.233827794073225
1.0,103.0,131.0,88.378,4.2166270475263445e-11,0.9999999999578337,0.07055254322332814,0.2912621359223301,0.22070959269900192,1202.5979014786153,2496.5599147186144,124.82799573593073
1.0,33.0,136.0,27.614,1.7209589309175044e-10,0.9999999998279041,0.07027288549738989,0.9090909090909092,0.8388180235935193,382.96518034707185,789.7425835946344,39.487129179731724
1.0,135.0,257.0,248.55870000000002,1.993081255591278e-10,0.9999999998006919,0.06412201398787848,0.22222222222222224,0.15810020823434376,3363.241424185406,5974.86907297047,298.74345364852354
16.0,334.0,349.0,149.6654,2.245470476225364e-11,0.9999999999775453,0.3653280042848291,1.437125748502994,1.071797744218165,158.90952734863404,2166.8293247942197,108.341466239711
1.0,187.0,227.0,13.8788,5.929945423588379e-11,0.9999999999407005,0.06554440962398295,0.16042780748663102,0.09488339786264807,197.69397780467875,363.698495698656,18.1849247849328
2.0,222.0,357.0,32.5865,2.266786758298167e-10,0.9999999997733213,0.08003381777462344,0.2702702702702703,0.19023645249564686,61.39854941998648,146.70176548305935,7.335088274152968
2.0,887.0,991.0,7989.9954,1.342044253505037e-10,0.9999999998657956,0.056058563323611116,0.06764374295377677,0.011585179630165657,14877.793370792482,21527.90661118838,1076.395330559419
2.0,271.0,327.0,97.66550000000001,8.361911163490277e-11,0.9999999999163809,0.08168694359175811,0.22140221402214022,0.13971527043038212,182.57318939357145,450.099154912639,22.504957745631952
2.0,178.0,238.0,18.774,9.30506782736984e-11,0.9999999999069493,0.0870192678117522,0.33707865168539325,0.250059383873641,35.680196116537715,97.12431590409663,4.856215795204832
2.0,110.0,307.0,49.1449,3.778977131219108e-10,0.9999999996221023,0.08282749703673639,0.5454545454545454,0.462627048417809,92.22966481110511,232.29869375191714,11.614934687595857
2.0,889.0,989.0,6488.50475,1.2853651476518735e-10,0.9999999998714635,0.05611158860670759,0.06749156355455568,0.011379974947848093,12082.074491623258,17504.32856766097,875.2164283830485
1.0,49.0,188.0,38.675,2.3938251381139253e-10,0.9999999997606175,0.06749066724140626,0.6122448979591836,0.5447542307177773,532.1646657074167,1026.4858929764712,51.32429464882356
1.0,60.0,142.0,140.1582,1.326059262396484e-10,0.9999999998673941,0.06994020886122919,0.5,0.4300597911387708,1901.0500479261095,3889.2939197109276,194.4646959855464
1.0,163.0,241.0,86.1458,1.2089995671260567e-10,0.9999999998791,0.06487285239057915,0.18404907975460122,0.11917622736402207,1172.4882286442096,2121.815244032035,106.09076220160176
1.0,96.0,272.0,140.1582,3.0778357640315335e-10,0.9999999996922164,0.0634337184855194,0.3125,0.2490662815144806,1901.0500479261095,3320.2396213740726,166.01198106870365
1.0,100.0,276.0,612.0816,3.072260224001866e-10,0.999999999692774,0.06325266149010468,0.3,0.23674733850989532,8266.724797903888,14373.369100000382,718.6684550000191
1.0,11.0,248.0,38.675,4.5856540786815003e-10,0.9999999995414346,0.06454220795063825,2.7272727272727275,2.662730519322089,532.1646657074167,955.2438787247745,47.76219393623873
1.0,53.0,106.0,88.378,8.335621082267153e-11,0.9999999999166438,0.0719848973853567,0.5660377358490566,0.4940528384636999,1202.5979014786153,2582.945340161473,129.14726700807364
1.0,325.0,386.0,1759.9114,8.810396856517855e-11,0.999999999911896,0.058649146834784255,0.09230769230769231,0.03365854547290806,23749.55776429641,36762.47952660569,1838.1239763302847
1.0,305.0,378.0,1717.9214,1.0722334131685329e-10,0.9999999998927767,0.05896123304882118,0.09836065573770492,0.03939942268888374,23183.163551270383,36174.41695544647,1808.7208477723234
1.0,121.0,247.0,140.1582,2.0780488441118905e-10,0.9999999997921951,0.06458923637853974,0.24793388429752067,0.18334464791898092,1901.0500479261095,3416.366324005594,170.8183162002797
1.0,125.0,155.0,432.9832,4.494449257208544e-11,0.9999999999550555,0.06923010543245041,0.24,0.1707698945675496,5850.904428239193,11768.468045517136,588.4234022758568
2.0,810.0,892.0,6517.72665,1.0618950163632235e-10,0.9999999998938105,0.05880951675589814,0.07407407407407407,0.015264557318175928,12136.484565715424,18713.789710613175,935.6894855306588
1.0,253.0,270.0,497.029,2.415778688202863e-11,0.9999999999758422,0.06352463625706299,0.11857707509881422,0.05505243884175123,6714.804654212575,11754.06118621429,587.7030593107146
1.0,297.0,332.0,149.153,4.986944190932263e-11,0.9999999999501306,0.06082221855346835,0.10101010101010101,0.040187882456632656,2022.3789992794439,3308.710054195151,165.43550270975754
1.0,12.0,199.0,13.8788,3.439817319872418e-10,0.9999999996560183,0.06693011726123126,2.5,2.433069882738769,197.69397780467875,376.1859028713255,18.809295143566274
2.0,798.0,884.0,4771.1084,1.1215339768000376e-10,0.9999999998878466,0.05904365334572681,0.07518796992481203,0.016144316579085216,8884.34735378772,13772.211143839768,688.6105571919884
26.0,359.0,360.0,127.3942346153846,1.3697931677825181e-12,0.9999999999986302,0.5645872142863314,2.1727019498607243,1.608114735574393,132.1292792472501,2828.9673572199185,141.44836786099594
1.0,199.0,305.0,570.0476,1.6642598410498977e-10,0.999999999833574,0.06197028185177055,0.15075376884422112,0.08878348699245056,7699.737078200721,12966.237528213718,648.311876410686
1.0,94.0,341.0,140.1582,4.6205439474533705e-10,0.9999999995379456,0.06044892565680994,0.3191489361702128,0.25870001051340286,1901.0500479261095,3080.975830814554,154.0487915407277
1.0,303.0,322.0,210.4032,2.6644464412584057e-11,0.9999999999733555,0.061242433057376165,0.09900990099009901,0.03776746793272285,2848.5699691933937,4710.056148469194,235.50280742345973
1.0,192.0,317.0,439.6576,2.0021606594866626e-10,0.9999999997997839,0.061454725260139995,0.15625,0.09479527473986,5940.933995646216,9875.835763603422,493.7917881801711
1.0,65.0,266.0,4.409,3.652971258816251e-10,0.9999999996347029,0.06370725584916916,0.46153846153846156,0.3978312056892924,69.95785209584638,123.01414198282222,6.150707099141112
1.0,130.0,153.0,86.1458,3.415867588785204e-11,0.9999999999658413,0.06933841210829826,0.23076923076923078,0.1614308186609325,1172.4882286442096,2364.464058890353,118.22320294451765
